意向学员微信号,删除来源微信号,删除绑定日期,参考来源微信号,参考绑定日期,规则
wxid_tr027a0dza1921,搜索,2025/11/03 17:07:50,yyllysys,2025/11/03 09:07:40,同意向学员+已报名+晚8小时(±1分钟)删除
qq972975381,shiliuma78549,2025/11/03 18:38:16,asdfw264976,2025/11/03 10:38:07,同意向学员+已报名+晚8小时(±1分钟)删除
cx1396634120,搜索,2025/11/06 19:19:59,wxid_tfc910ouc3t712,2025/11/06 11:19:51,同意向学员+已报名+晚8小时(±1分钟)删除
wxid_uzmen8qsuygi22,搜索,2025/11/13 18:39:25,zxl181110,2025/11/13 10:39:16,同意向学员+已报名+晚8小时(±1分钟)删除
jiaorifengydhcg,搜索,2025/11/16 04:19:59,Dear_youth,2025/11/15 20:19:51,同意向学员+已报名+晚8小时(±1分钟)删除
QYY_0712,搜索,2025/11/19 00:31:54,Ahhnmgdzhwnqshc,2025/11/18 16:31:45,同意向学员+已报名+晚8小时(±1分钟)删除
Cylyccc,搜索,2025/11/21 16:36:18,Ahhnmgdzhwnqshc,2025/11/21 08:36:09,同意向学员+已报名+晚8小时(±1分钟)删除
li18931090659,Romy20150621,2025/11/30 18:01:40,,2025/11/30 10:01:30,同意向学员+已报名+晚8小时(±1分钟)删除
ydmx8610,cartoonabc_Johnny,2025/12/02 06:00:42,,2025/12/01 22:00:32,同意向学员+已报名+晚8小时(±1分钟)删除
WJpangge,yy61649290,2025/12/02 06:57:28,,2025/12/01 22:57:19,同意向学员+已报名+晚8小时(±1分钟)删除
yang2320624,cartoonabc_Johnny,2025/12/02 19:55:51,,2025/12/02 11:55:42,同意向学员+已报名+晚8小时(±1分钟)删除
HLL401855176,xue1052341416,2025/12/03 06:14:10,,2025/12/02 22:14:02,同意向学员+已报名+晚8小时(±1分钟)删除
HXY520250,cartoonabc_Johnny,2025/12/05 02:56:01,,2025/12/04 18:55:52,同意向学员+已报名+晚8小时(±1分钟)删除
MG15947513246,cartoonabc_Johnny,2025/12/07 01:29:21,,2025/12/06 17:29:12,同意向学员+已报名+晚8小时(±1分钟)删除
zuozuomu0209,cartoonabc_Johnny,2025/12/09 19:09:10,,2025/12/09 11:09:02,同意向学员+已报名+晚8小时(±1分钟)删除
xijier123,cartoonabc_Johnny,2025/12/11 03:28:13,,2025/12/10 19:28:05,同意向学员+已报名+晚8小时(±1分钟)删除
zlx4444,cartoonabc_Johnny,2025/12/11 19:52:18,,2025/12/11 11:52:09,同意向学员+已报名+晚8小时(±1分钟)删除
wxid_chnzm42gx1so21,KrismileBY,2025/12/14 05:45:47,,2025/12/13 21:45:39,同意向学员+已报名+晚8小时(±1分钟)删除
hrhr10088,Shaolili777777,2025/12/15 17:15:44,,2025/12/15 09:15:35,同意向学员+已报名+晚8小时(±1分钟)删除
sui757262451,yy61649290,2025/12/17 18:41:15,,2025/12/17 10:41:05,同意向学员+已报名+晚8小时(±1分钟)删除
COLORFULDAY0225,cartoonabc_Johnny,2025/12/18 00:59:23,,2025/12/17 16:59:16,同意向学员+已报名+晚8小时(±1分钟)删除
xiaodingdang_1988,cartoonabc_Johnny,2025/12/18 05:47:16,,2025/12/17 21:47:08,同意向学员+已报名+晚8小时(±1分钟)删除
C-X20200114,QH17356910225,2025/12/19 03:55:12,,2025/12/18 19:55:04,同意向学员+已报名+晚8小时(±1分钟)删除
